Time,Latitude,Longitude,counts,PM1,PM25,PM10
1745955685.01,0,0,21.8,13.5,23.0,24.0
1745955690.06,0,0,22.2,14.0,24.0,24.0
1745955695.12,0,0,26.8,13.5,22.5,22.5
1745955700.04,0,0,29.8,13.0,22.0,22.0
1745955705.08,0,0,23.6,13.0,23.0,23.0
1745955710.05,0,0,26.6,13.0,23.0,23.0
1745955715.04,0,0,26.2,12.5,22.0,23.0
1745955720.06,0,0,25.4,11.0,23.0,24.5
1745955725.05,0,0,28.0,10.5,23.5,27.5
1745955730.04,0,0,29.0,10.0,23.0,28.0
1745955735.04,0,0,30.2,9.5,21.5,26.0
1745955740.09,0,0,23.4,10.0,22.0,27.0
1745955745.05,0,0,26.6,10.5,22.0,27.5
1745955750.07,0,0,25.0,11.0,22.0,28.0
1745955755.06,0,0,25.8,10.5,20.5,26.5
1745955760.09,0,0,25.0,11.0,21.0,27.0
1745955765.05,0,0,26.4,11.0,21.0,26.0
1745955770.04,0,0,24.4,11.5,20.0,24.0
1745955775.02,0,0,26.6,11.5,18.5,21.5
1745955780.02,0,0,28.4,10.0,17.0,20.0
1745955785.05,0,0,27.0,11.0,18.0,20.0
1745955790.05,0,0,25.0,11.0,17.0,20.0
1745955795.04,0,0,19.6,10.5,16.5,19.0
1745955800.02,0,0,22.0,10.0,16.0,18.0
1745955805.06,0,0,24.6,10.0,16.5,17.5
1745955810.02,0,0,24.4,9.0,17.5,19.0
1745955815.02,0,0,25.6,8.5,19.0,20.0
1745955820.02,0,0,22.2,9.0,22.5,23.0
1745955825.03,0,0,25.2,8.0,21.5,22.0
1745955830.05,0,0,25.0,7.5,21.0,22.0
1745955835.02,0,0,21.0,6.0,19.0,20.0
1745955840.04,0,0,22.6,6.0,18.0,18.0
1745955845.03,0,0,26.6,6.0,17.5,18.0
1745955850.06,0,0,22.8,7.0,17.0,18.0
1745955855.0,0,0,25.0,5.5,15.0,16.0
1745955860.04,0,0,27.4,5.0,14.0,15.0
1745955865.07,0,0,28.0,4.0,11.0,13.0
1745955870.16,0,0,27.4,4.0,10.0,13.0
1745955875.06,0,0,24.0,5.0,12.0,16.0
1745955880.05,0,0,24.8,5.5,12.0,16.0
1745955885.05,0,0,21.8,6.0,12.0,16.0
1745955890.02,0,0,27.2,6.0,11.0,15.0
1745955895.05,0,0,24.8,6.0,11.0,14.0
1745955900.02,0,0,21.6,7.0,11.0,14.0
1745955905.03,0,0,27.4,7.0,11.0,13.5
1745955910.02,0,0,25.4,7.0,11.0,13.0
1745955915.06,0,0,26.0,7.5,14.5,16.5
1745955920.03,0,0,26.0,8.5,16.0,16.0
1745955925.02,0,0,24.4,9.0,18.5,19.5
1745955930.04,0,0,23.4,9.5,22.0,23.5
1745955935.06,0,0,28.2,8.0,19.0,24.0
1745955940.02,0,0,25.4,7.0,18.5,23.5
1745955945.03,0,0,20.6,7.5,19.5,24.5
1745955950.02,0,0,23.2,8.0,20.0,27.0
1745955955.02,0,0,24.0,8.0,19.0,27.0
1745955960.07,0,0,27.6,9.0,18.0,25.0
1745955965.03,0,0,26.8,8.5,17.5,25.0
1745955970.03,0,0,23.6,8.0,17.0,25.0
1745955975.07,0,0,24.8,8.0,16.0,24.5
1745955980.06,0,0,26.4,9.0,18.0,23.5
1745955985.08,0,0,26.8,9.0,19.0,22.5
1745955990.08,0,0,27.0,8.0,18.5,21.5
1745955995.07,0,0,26.0,7.0,17.5,21.5
1745956000.06,0,0,21.2,7.0,18.0,22.0
1745956005.16,0,0,26.6,7.0,17.0,20.0
1745956010.05,0,0,27.4,6.0,16.0,21.0
1745956015.04,0,0,27.6,6.0,15.5,21.5
1745956020.07,0,0,32.2,6.0,15.0,22.0
1745956025.06,0,0,29.8,8.0,21.5,29.0
1745956030.02,0,0,24.4,8.0,21.0,27.5
1745956035.03,0,0,24.4,8.0,22.0,28.5
1745956040.03,0,0,27.6,7.0,23.0,27.0
1745956045.05,0,0,21.8,6.0,19.0,20.0
1745956050.02,0,0,25.6,5.5,17.0,18.5
1745956055.02,0,0,24.4,5.5,17.0,19.0
1745956060.02,0,0,26.2,6.0,15.5,17.5
1745956065.04,0,0,25.4,6.0,14.5,16.5
1745956070.05,0,0,24.4,6.5,17.5,17.5
1745956075.02,0,0,28.0,7.0,18.5,18.5
1745956080.02,0,0,25.4,7.0,19.0,19.0
