Time,Latitude,Longitude,counts,PM1,PM25,PM10
1745963164.58,0,0,18.0,4.0,9.0,10.0
1745963169.42,0,0,17.4,4.0,9.0,10.0
1745963174.42,0,0,19.8,3.0,8.0,9.0
1745963179.45,0,0,18.2,3.5,10.0,12.0
1745963184.43,0,0,16.6,3.0,10.0,12.0
1745963189.42,0,0,21.2,3.0,10.0,11.0
1745963194.42,0,0,16.8,2.0,9.0,11.0
1745963199.44,0,0,18.0,3.0,10.0,13.0
1745963204.43,0,0,17.6,3.0,10.0,13.0
1745963209.42,0,0,21.0,3.0,10.0,13.0
1745963214.43,0,0,15.6,2.0,9.0,12.0
1745963219.42,0,0,20.2,2.0,9.0,13.0
1745963224.45,0,0,15.6,2.5,10.5,14.5
1745963229.42,0,0,15.2,2.0,10.0,14.0
1745963234.44,0,0,18.8,2.5,10.5,14.5
1745963239.44,0,0,17.6,3.0,9.0,13.0
1745963244.5,0,0,19.0,3.0,9.0,13.0
1745963249.41,0,0,16.0,2.0,7.0,12.0
1745963254.45,0,0,15.4,2.0,7.0,10.5
1745963259.45,0,0,18.8,2.0,7.0,9.0
1745963264.51,0,0,21.2,2.5,9.0,10.5
1745963269.42,0,0,20.2,4.0,11.0,12.0
1745963274.42,0,0,18.8,4.0,10.0,12.0
1745963279.42,0,0,16.2,4.5,10.0,11.5
1745963284.42,0,0,18.2,4.5,9.5,10.5
1745963289.46,0,0,17.2,3.5,8.5,9.0
1745963294.44,0,0,20.2,3.0,8.0,9.0
1745963299.45,0,0,17.4,4.0,9.0,9.0
1745963304.45,0,0,21.6,4.0,9.0,9.0
1745963309.48,0,0,18.4,4.0,10.0,10.0
1745963314.44,0,0,16.4,4.0,10.0,10.0
1745963319.45,0,0,18.6,4.0,10.0,10.0
1745963324.45,0,0,16.2,4.5,10.5,10.5
1745963329.45,0,0,18.4,4.5,10.0,10.5
1745963334.5,0,0,18.6,4.0,9.0,10.0
1745963339.44,0,0,17.2,4.0,9.0,10.5
1745963344.45,0,0,19.6,4.0,9.0,11.0
1745963349.44,0,0,18.6,4.0,10.0,12.0
1745963354.47,0,0,18.6,5.0,10.0,12.0
1745963359.44,0,0,16.4,6.0,11.5,14.0
1745963364.44,0,0,19.8,6.5,13.5,16.5
1745963369.46,0,0,19.2,8.0,15.5,18.5
1745963374.49,0,0,19.2,9.0,18.5,21.5
1745963379.44,0,0,19.2,7.0,16.5,20.0
1745963384.43,0,0,18.0,6.0,15.0,19.0
1745963389.43,0,0,17.0,7.0,15.5,19.0
1745963394.43,0,0,17.0,7.0,15.0,18.0
1745963399.47,0,0,17.8,6.5,15.0,18.5
1745963404.43,0,0,15.6,5.0,13.0,17.0
1745963409.46,0,0,18.2,4.5,12.5,15.5
1745963414.43,0,0,17.4,4.5,14.0,16.5
1745963419.49,0,0,20.8,5.0,13.5,15.5
1745963424.44,0,0,17.6,5.0,13.5,15.5
1745963429.45,0,0,18.0,4.0,13.0,15.0
1745963434.45,0,0,17.4,4.0,13.0,15.0
1745963439.45,0,0,16.2,3.5,12.5,14.0
1745963444.46,0,0,18.6,4.0,12.0,14.0
1745963449.44,0,0,23.0,4.5,12.0,14.0
1745963454.43,0,0,20.8,5.0,12.0,14.0
