Time,Temperature (C),Humidity (%),Pressure (hPa),Gas (Ohm),PM10,PM2.5,PM100
1740785030.190444,24.7305859375,47.55761596064186,1001.4310505976441,39248,7,11,12
1740785031.2113628,25.0133984375,47.59247242579265,1001.4358148606337,50934,7,10,12
1740785032.222957,24.9200390625,47.2234185321905,1001.4610736969255,55307,7,10,12
1740785033.2353997,24.8190625,46.96494303538262,1001.4685303933369,60941,7,10,12
1740785034.2465398,24.739765625,46.76481364456097,1001.4789830836847,66139,7,10,11
1740785035.2576065,24.6837109375,46.629116031305394,1001.4984850096049,70718,7,10,11
1740785036.2686741,24.6446484375,46.5262543005273,1001.5115542372675,74558,7,10,11
1740785037.2797918,24.61828125,46.50467479157164,1001.5214489868849,78766,8,10,12
1740785038.2909527,24.6016796875,46.47814983153819,1001.5267829169533,82247,8,10,12
1740785039.3020713,24.5934765625,46.415877206467854,1001.5287485123919,85961,8,10,12
1740785040.314613,24.5903515625,46.34199066384812,1001.5322068487782,89164,8,9,11
1740785041.3284736,24.5934765625,46.30562371203648,1001.5356457854353,91104,7,8,10
1740785042.340997,24.599140625,46.318552714563275,1001.5208635215834,93442,7,8,10
1740785043.3537,24.6075390625,46.40531930390546,1001.515771587017,95684,7,10,11
1740785044.369308,24.617109375,46.54745162885321,1001.5195128504821,96597,7,10,12
1740785045.382522,24.624921875,46.65880819357639,1001.5169008346894,98878,7,11,13
1740785046.3956413,24.6337109375,46.70896824426118,1001.507279776214,101147,7,11,12
1740785047.408771,24.646015625,46.73501374988653,1001.5017417812483,103395,7,11,13
1740785048.4220192,24.6610546875,46.76753598237823,1001.4903732699938,105148,6,11,12
1740785049.4351554,24.6743359375,46.787570061203255,1001.4916201082156,107510,6,11,11
1740785050.4483008,24.6872265625,46.75229348962071,1001.497394597901,109406,6,11,12
1740785051.4614663,24.7012890625,46.69261239871859,1001.496481488117,111222,7,13,13
1740785052.4745536,24.7083203125,46.6014218468968,1001.5011984514904,113406,8,14,14
1740785053.486666,24.71046875,46.393229057596635,1001.4995737194017,116481,7,13,13
1740785054.499387,24.7094921875,46.12983692899048,1001.4962358538618,118458,6,11,12
1740785055.5126731,24.7067578125,45.84830906561556,1001.496892638081,119302,6,11,11
1740785056.5267377,24.6981640625,45.548250243562336,1001.4982174531136,121377,6,11,11
1740785057.5398593,24.689375,45.30957463760407,1001.4957701076563,122891,6,11,11
1740785058.55291,24.67375,45.07650983957404,1001.4975502457626,124814,7,11,11
1740785059.5658545,24.6559765625,44.861736445548274,1001.5061267622226,126130,7,11,11
1740785060.5788956,24.6415234375,44.67795939731235,1001.5081158595134,126990,7,11,11
1740785061.5917125,24.62375,44.51823933389707,1001.5132403241801,128648,6,11,11
1740785062.6032355,24.60578125,44.382873652632114,1001.5094186637593,129444,6,11,11
1740785063.6142972,24.590546875,44.29029788955735,1001.489421824259,130452,6,11,11
1740785064.6258936,24.57765625,44.204097168782404,1001.4784699961207,132098,6,10,10
1740785065.6370327,24.56515625,44.13008011310685,1001.4543693456676,132516,6,10,10
1740785066.6495762,24.5524609375,44.086294033007086,1001.4299462647868,133786,6,10,10
1740785067.6625235,24.5378125,44.03625257089864,1001.4074691090938,134646,6,10,10
1740785068.675438,24.520234375,43.99797084365252,1001.3853241465075,135518,6,10,10
1740785069.6879563,24.5003125,43.95339009963406,1001.3541346561003,136846,6,10,10
1740785070.700854,24.48078125,43.9149063726074,1001.3201426980277,137521,7,10,11
1740785071.7142375,24.46125,43.882469902657334,1001.3033906520589,138201,7,10,11
1740785072.727351,24.4376171875,43.86767478009171,1001.2902049541137,139816,7,10,11
1740785073.7395551,24.4141796875,43.82273379726069,1001.2652736514383,139933,6,9,10
1740785074.7522228,24.3907421875,43.783840128642765,1001.240341731191,141112,6,9,10
1740785075.765301,24.36984375,43.77540546174492,1001.214433012537,142675,6,9,10
1740785076.7784479,24.3477734375,43.772868599568106,1001.1814170045177,142918,6,8,9
1740785077.7915587,24.3286328125,43.75860720706569,1001.146346978783,142675,6,8,9
