Time,Temperature (C),Humidity (%),Pressure (hPa),Gas (Ohm),PM10,PM2.5,PM100
1740782005.6635954,26.84484375,42.897334202536804,1001.8154797416641,7015,9,9,9
1740782006.7473629,27.0637890625,42.946715296200445,1001.8094478651714,12389,9,9,9
1740782007.7587945,27.008125,42.663379249480634,1001.8388700539075,16409,9,9,9
1740782008.7703147,26.9425,42.421461783905826,1001.8501247559805,20917,9,9,9
1740782009.7814643,26.88703125,42.23507397355448,1001.8590647006633,25221,9,9,9
1740782010.7932863,26.8411328125,42.079971189238535,1001.8699234651608,29170,8,9,9
1740782011.8059976,26.80265625,41.93186165528455,1001.8791651788581,32697,8,8,8
1740782012.8196514,26.7665234375,41.802109973701725,1001.8836126590882,35888,7,8,8
1740782013.832801,26.731953125,41.66069738351689,1001.8854398756172,39102,8,8,8
1740782014.8460948,26.7024609375,41.525961527660016,1001.8956342549885,41917,8,9,9
1740782015.8593347,26.67375,41.38546916087344,1001.9036522673752,44123,8,9,9
1740782016.8726587,26.6454296875,41.28091877771641,1001.9071206315062,46678,8,9,9
1740782017.8870208,26.6196484375,41.1767268766514,1001.9078530545922,48712,8,9,9
1740782018.899984,26.5954296875,41.08469095747682,1001.9007810804454,50934,8,9,9
1740782019.9128246,26.57140625,41.02249119896142,1001.9026770638103,52830,7,9,9
1740782020.9257634,26.5481640625,40.96040645605863,1001.9006700882038,54586,8,9,9
1740782021.9383047,26.5253125,40.89839310163109,1001.9027639796681,56273,7,8,8
1740782022.9511802,26.5016796875,40.86604594706744,1001.9001081582287,57668,7,8,8
1740782023.9649506,26.476875,40.851411412387286,1001.8972467116853,59512,7,8,8
1740782024.9780624,26.4516796875,40.8307926602516,1001.8920092232972,60808,7,8,8
1740782025.99141,26.4282421875,40.80443001613994,1001.8879392499931,62627,7,8,8
1740782027.0051005,26.4065625,40.79609314874155,1001.8919538050286,63675,7,8,8
1740782028.0166447,26.38546875,40.8056479887015,1001.891745137767,64858,7,8,8
1740782029.0278149,26.363203125,40.80318934017799,1001.8861435040582,66139,8,9,9
1740782030.038971,26.3425,40.83061480047074,1001.8813883254048,67580,8,9,9
1740782031.0501459,26.31984375,40.85188419437582,1001.8803255973838,68632,8,9,9
1740782032.0613089,26.2971875,40.86721146681502,1001.8827183841091,69717,8,10,10
1740782033.0761356,26.27453125,40.864708357763895,1001.883379911926,71139,8,10,10
1740782034.089282,26.2512890625,40.87402769614265,1001.8865300134388,72556,8,10,10
1740782035.1028368,26.22921875,40.889420513576084,1001.8725951793399,73126,8,10,10
1740782036.1167023,26.2083203125,40.89305550868026,1001.8692354729875,74228,8,10,10
1740782037.1299977,26.1880078125,40.90269926663518,1001.8702978172639,75364,8,10,10
1740782038.143952,26.1680859375,40.9302199105731,1001.8650886141102,76674,8,10,10
1740782039.1571276,26.1469921875,40.933833496780416,1001.861401546643,77027,8,10,10
1740782040.1703367,26.123359375,40.996624095212795,1001.8621657319865,77454,8,10,10
1740782041.1835122,26.1020703125,41.119194108655144,1001.8598809127435,78914,7,9,9
1740782042.1959426,26.0829296875,41.25399791318843,1001.862867254145,80122,7,9,9
1740782043.2087724,26.0630078125,41.34709964666723,1001.8662909991036,80662,7,9,9
1740782044.221901,26.041328125,41.410244774804596,1001.8650841847519,81526,8,10,10
1740782045.2351408,26.0196484375,41.45552189299754,1001.8656034829058,82247,8,10,10
1740782046.2483125,26.00109375,41.48923010780478,1001.8591806340289,83227,8,10,10
1740782047.2614064,25.983515625,41.499195887705625,1001.8560960688617,83643,8,10,10
1740782048.2746415,25.96515625,41.50311094255123,1001.8517211332717,85348,8,10,10
1740782049.287905,25.94640625,41.518910374163404,1001.84842828298,85522,8,10,10
1740782050.3011205,25.929609375,41.493182000303264,1001.850084965563,87033,8,11,11
1740782051.3143582,25.912421875,41.50319131615678,1001.8476400053295,87305,8,11,11
1740782052.3274522,25.8934765625,41.50704151418414,1001.8422930308504,87671,8,11,11
1740782053.3406992,25.8753125,41.52290584683752,1001.8382340481256,88411,7,11,11
1740782054.3536723,25.8575390625,41.514960095217184,1001.834818473294,89545,7,11,11
1740782055.365269,25.8403515625,41.52496998614865,1001.8254580796975,90611,7,11,11
1740782056.37737,25.8223828125,41.517003154031315,1001.8251731364742,91303,8,11,11
1740782057.3888235,25.8032421875,41.50294433547441,1001.831590465179,91904,8,11,11
1740782058.3999717,25.78234375,41.494653664098045,1001.8247396410989,92513,8,11,11
1740782059.4125075,25.76515625,41.516587126231514,1001.8257395283772,93130,7,10,11
1740782060.4256144,25.750703125,41.56268167001007,1001.8312511415908,93234,7,10,11
1740782061.438818,25.735859375,41.60277824780956,1001.8326620970037,94177,7,10,11
1740782062.45126,25.72140625,41.64889332830958,1001.8329894267647,95032,7,9,10
1740782063.4641256,25.7044140625,41.70070413762531,1001.8273975729871,95248,7,9,10
1740782064.477324,25.6891796875,41.72884592163522,1001.8177972076746,95684,7,9,10
1740782065.4913697,25.6735546875,41.768888791575144,1001.8144603056691,95062,7,10,10
1740782066.5044544,25.6591015625,41.7911556229543,1001.8251469937336,95660,7,10,10
1740782067.51757,25.6440625,41.819331262848706,1001.8262294322152,96486,7,10,10
1740782068.5308876,25.6298046875,41.83565213576371,1001.8251462701623,97158,7,9,10
1740782069.5440516,25.613984375,41.851799038644664,1001.824937044765,98356,7,9,10
1740782070.5572543,25.5993359375,41.86210466992754,1001.828388237981,97158,7,9,10
1740782071.5705934,25.5848828125,41.884380410177116,1001.8321607471539,98762,7,10,10
1740782072.5838132,25.570625,41.912655187619094,1001.8310737965022,99112,7,10,10
1740782073.5999446,25.5565625,41.940955663990344,1001.8320353191995,99348,7,10,10
1740782074.613001,25.54328125,41.96337087538689,1001.8411931282249,99940,7,10,11
1740782075.6259832,25.53,41.97383414940501,1001.848622956014,100480,7,10,11
1740782076.639957,25.5165234375,42.00818623298269,1001.8470952909436,101515,7,10,11
1740782077.6531026,25.5036328125,42.01271699834502,1001.8534412845252,101886,8,10,11
1740782078.6655273,25.491328125,42.047206947637086,1001.8538468076507,100843,8,10,11
1740782079.6787517,25.4790234375,42.057783303716214,1001.8507982616518,102384,8,10,11
1740782080.6919377,25.4675,42.056488752324675,1001.8455857414217,102572,7,9,10
