Time,Temperature (C),Humidity (%),Pressure (hPa),Gas (Ohm),PM10,PM2.5,PM100
1740783388.0582294,24.194453125,46.02534398913918,1001.5984603626608,5665,8,11,11
1740783389.069791,24.42609375,46.05915413476044,1001.6314552096113,10310,8,11,11
1740783390.0812006,24.36125,45.84980252714834,1001.6432244280644,14351,8,11,11
1740783391.0954022,24.3067578125,45.68466108237712,1001.6582952193861,19051,8,10,11
1740783392.1088521,24.267890625,45.52155537072498,1001.676775177762,23994,8,10,11
1740783393.1220317,24.241328125,45.39660126721502,1001.6811203539914,28829,8,10,11
1740783394.1350484,24.2253125,45.27299115886537,1001.6925580570132,33373,8,10,10
1740783395.1467786,24.215546875,45.15629035166438,1001.6988168826207,37729,8,10,10
1740783396.1579182,24.210859375,45.07064783018669,1001.7014073067727,42255,8,10,10
1740783397.169091,24.21125,44.961353084817034,1001.7020531006501,46012,8,10,11
1740783398.1802773,24.2153515625,44.901118940318185,1001.7036639652778,49902,8,10,11
1740783399.1914232,24.221015625,44.85322533395824,1001.6992412317227,53573,8,10,11
1740783400.2039163,24.2278515625,44.79941446519527,1001.6984789722757,57040,7,10,11
1740783401.215027,24.2380078125,44.75813818651069,1001.699758799451,60240,7,10,11
1740783402.2261307,24.245234375,44.72865732805216,1001.7099822078814,63530,7,10,11
1740783403.23727,24.2565625,44.711787597811835,1001.7149222027437,66296,7,10,11
1740783404.2484438,24.2680859375,44.73132706321216,1001.7167377487867,68801,7,10,11
1740783405.2595515,24.2798046875,44.79335703124014,1001.7016406731027,71320,7,10,11
1740783406.2719955,24.2946484375,44.86184726858427,1001.693431788058,73705,7,10,11
1740783407.284196,24.3075390625,44.93621121010829,1001.6819929997672,76325,7,10,11
1740783408.2968583,24.3180859375,44.96174051311998,1001.6770204447134,79138,7,10,11
1740783409.3099577,24.32921875,44.91446544048455,1001.6799102722103,81368,7,10,11
1740783410.323072,24.3399609375,44.86108615201049,1001.6821539622432,83310,7,10,11
1740783411.336086,24.351875,44.78965544531168,1001.6794395057755,85435,7,10,11
1740783412.3491817,24.3641796875,44.74862663941342,1001.6825411421166,87671,7,9,10
1740783413.362253,24.3716015625,44.700970915471586,1001.6844664239698,89354,7,9,10
1740783414.3753455,24.37765625,44.63497994585835,1001.6841316967377,91402,7,9,10
1740783415.3883781,24.383515625,44.56293074649845,1001.6886452859885,93756,7,9,10
1740783416.4015253,24.38234375,44.4900920369638,1001.6849845451454,95357,7,9,10
1740783417.4146004,24.375703125,44.39848608052432,1001.6895221523362,95769,7,9,10
1740783418.427309,24.3719921875,44.34963079311823,1001.6851120880835,96375,7,10,11
1740783419.4400532,24.3688671875,44.319010107146696,1001.6696043901403,97782,7,10,11
1740783420.4530401,24.361640625,44.312120428535444,1001.6473174946577,100000,7,10,11
1740783421.4669173,24.3555859375,44.29326681839818,1001.6252441081201,101331,8,11,11
1740783422.479977,24.3508984375,44.298773010035774,1001.6106017307828,102635,8,11,11
1740783423.4930418,24.345234375,44.30416601177134,1001.5891744169818,103268,8,11,11
1740783424.5061457,24.3411328125,44.29763998823096,1001.5668825098725,104687,8,11,12
1740783425.5192885,24.33703125,44.28506466926636,1001.532525361818,105745,8,11,12
1740783426.5323384,24.3333203125,44.296733652394686,1001.5091559493762,107579,8,11,12
1740783427.5445602,24.32921875,44.30835800545448,1001.4851411924978,108625,8,11,12
1740783428.557289,24.322578125,44.30153744313447,1001.4707193151021,109620,8,11,12
1740783429.5703332,24.3149609375,44.2764559771431,1001.4650250848321,110488,8,11,12
1740783430.5833926,24.3065625,44.23919255804891,1001.4408040758667,112190,8,11,12
1740783431.5964205,24.298359375,44.22614753846912,1001.4151826500006,112719,8,11,12
1740783432.6096995,24.29015625,44.231244541252195,1001.3912851011914,113868,8,11,12
1740783433.622803,24.281953125,44.23634163395343,1001.3691113594958,114334,8,11,11
1740783434.6358154,24.27609375,44.2356629485465,1001.337023342106,114962,8,11,11
1740783435.6487823,24.2731640625,44.25346623856348,1001.2959894296196,115358,8,11,11
1740783436.6618123,24.264765625,44.294832826739,1001.259706759575,116806,8,11,12
1740783437.674749,24.2630078125,44.29462903242778,1001.2361210396236,118542,8,11,12
1740783438.6874497,24.2591015625,44.300225473382284,1001.2124322981846,119387,8,11,12
1740783439.7002566,24.255,44.28765164567348,1001.1746338969514,119986,8,12,12
